tag,mode,fov,enhance,true_fov,infer_fov_h,infer_fov_w,align_pct
tangent_fov40_none,tangent,40.0,none,40.0,39.71,39.60,18.01
tangent_fov60_none,tangent,60.0,none,60.0,61.12,61.27,20.05
tangent_fov80_none,tangent,80.0,none,80.0,76.20,76.61,27.49
tangent_fov100_none,tangent,100.0,none,100.0,99.38,99.81,25.87
tangent_fov110_none,tangent,110.0,none,110.0,106.07,106.07,23.09
tangent_fov120_none,tangent,120.0,none,120.0,107.51,107.32,21.81
raw_roi_fov40_none,raw_roi,40.0,none,40.0,37.91,37.78,18.61
raw_roi_fov60_none,raw_roi,60.0,none,60.0,56.28,56.38,19.33
raw_roi_fov80_none,raw_roi,80.0,none,80.0,69.33,69.38,22.32
raw_roi_fov100_none,raw_roi,100.0,none,100.0,80.08,80.45,19.81
raw_roi_fov110_none,raw_roi,110.0,none,110.0,90.38,90.64,20.80
raw_roi_fov120_none,raw_roi,120.0,none,120.0,93.81,93.99,21.05
rectifier_fovrect_none,rectifier,None,none,84.54737801218748,83.15,83.42,28.40
