digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.088438,0.058113,0.493660,0.171312,0.040863,0.917561,0.972218,0.985749,0.987798,3.318978,2.954797,0.640788,0.287607,1.9172
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.089160,0.060817,0.523245,0.170698,0.040719,0.918522,0.971519,0.987438,0.985077,3.276616,2.792758,1.014439,0.597307,1.9172
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.092942,0.058235,0.499148,0.184344,0.041690,0.915159,0.970062,0.985883,0.986074,3.215627,2.586297,1.170639,0.709415,1.9172
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.106893,0.061760,0.475353,0.205905,0.046972,0.888426,0.962025,0.982751,0.982154,3.121512,2.289225,1.211798,0.811745,1.9172
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.132929,0.071203,0.452757,0.250174,0.058432,0.857595,0.944474,0.974736,0.961665,2.958533,1.929725,1.171937,0.905390,1.9172
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.169557,0.091005,0.471908,0.318354,0.076082,0.807465,0.926574,0.961657,0.935820,2.817016,1.644695,1.088812,0.984485,1.9172
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.065398,0.040858,0.416978,0.139605,0.030217,0.951542,0.977500,0.988792,0.971413,3.198375,2.956417,0.639849,0.286065,1.6825
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.067042,0.041997,0.433311,0.137774,0.030412,0.948059,0.978041,0.990050,0.971233,3.183715,2.792892,1.014755,0.597736,1.6825
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.067675,0.034184,0.379028,0.130479,0.029653,0.950453,0.980935,0.992751,0.972204,3.157033,2.584882,1.171168,0.709956,1.6825
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.076766,0.035985,0.350892,0.149510,0.032694,0.938682,0.973884,0.989997,0.975150,3.134994,2.282202,1.211766,0.814229,1.6825
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.084076,0.037837,0.359957,0.183116,0.037627,0.920957,0.966527,0.984935,0.988259,3.136750,1.979888,1.173882,0.897575,1.6825
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.110029,0.052025,0.386210,0.254139,0.053219,0.860716,0.940898,0.970314,1.031513,3.235910,2.012458,1.050907,0.734966,1.6825
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.084816,0.049613,0.425612,0.144675,0.036825,0.939460,0.981281,0.990267,0.981224,3.456501,2.954797,0.640788,0.287607,1.9040
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.084181,0.046715,0.426745,0.144656,0.037187,0.933147,0.980420,0.991881,0.991174,3.438457,2.792758,1.014439,0.597307,1.9040
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.089485,0.045386,0.402658,0.157466,0.039379,0.918837,0.977028,0.990981,0.996410,3.383301,2.586297,1.170639,0.709415,1.9040
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.103782,0.051252,0.397848,0.191931,0.045434,0.891943,0.963728,0.986188,0.994760,3.297040,2.289225,1.211798,0.811745,1.9040
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.129190,0.069283,0.418943,0.243063,0.055954,0.864916,0.949453,0.976789,0.973606,3.131546,1.929725,1.171937,0.905390,1.9040
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.161491,0.083528,0.443169,0.286749,0.070377,0.820227,0.933315,0.965336,0.951842,2.998367,1.644695,1.088812,0.984485,1.9040
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7916,0.058523,0.037733,0.366691,0.124429,0.026297,0.961097,0.982660,0.991963,0.974199,3.210304,2.956417,0.639849,0.286065,1.6424
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25837,0.058444,0.035353,0.379007,0.122768,0.026210,0.959489,0.982656,0.992292,0.975291,3.201923,2.792892,1.014755,0.597736,1.6424
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,51155,0.059359,0.030632,0.339471,0.120783,0.025858,0.958421,0.983696,0.993278,0.978528,3.188467,2.584882,1.171168,0.709956,1.6424
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,94542,0.065498,0.029277,0.311262,0.132529,0.027923,0.951340,0.978536,0.991557,0.982244,3.181212,2.282202,1.211766,0.814229,1.6424
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,85817,0.073129,0.029562,0.293188,0.146622,0.031290,0.937888,0.974245,0.989182,0.992890,3.187094,1.979888,1.173882,0.897575,1.6424
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2940,0.096119,0.040923,0.325796,0.185482,0.042249,0.895104,0.954861,0.980605,1.021482,3.248380,2.012458,1.050907,0.734966,1.6424
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4819,0.060211,0.034892,0.374541,0.131043,0.028231,0.957240,0.980301,0.990734,1.009508,2.500791,2.955675,0.639956,0.286752,1.9857
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,15648,0.058712,0.030582,0.353875,0.124407,0.027323,0.962039,0.982831,0.992449,1.010220,2.484115,2.791850,1.014275,0.597355,1.9857
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29253,0.055738,0.023011,0.295062,0.122053,0.025691,0.966549,0.985285,0.993689,1.009893,2.450725,2.586755,1.170633,0.709204,1.9857
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,46483,0.060653,0.022171,0.266370,0.149843,0.028049,0.954297,0.982406,0.992317,1.000093,2.391600,2.288473,1.211812,0.811885,1.9857
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,66253,0.078972,0.025583,0.264453,0.177108,0.036270,0.938704,0.974870,0.988532,0.973230,2.282725,1.929545,1.172006,0.905743,1.9857
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,35413,0.119563,0.041045,0.317612,0.237009,0.054400,0.915857,0.963850,0.979459,0.931651,2.152296,1.644957,1.088776,0.984225,1.9857
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7735,0.044246,0.027903,0.335601,0.120410,0.020792,0.956703,0.982588,0.991048,0.988935,2.744204,2.955343,0.640660,0.287747,1.4344
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25229,0.043947,0.024308,0.307129,0.111838,0.020076,0.961827,0.984782,0.993432,0.989753,2.745347,2.792782,1.014823,0.597449,1.4344
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,49995,0.043426,0.018502,0.253298,0.103904,0.019083,0.966191,0.987371,0.995008,0.989521,2.745319,2.584543,1.171257,0.710057,1.4344
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,92339,0.050804,0.020426,0.235305,0.117072,0.021130,0.960326,0.981125,0.993328,0.989062,2.745826,2.282323,1.211813,0.814367,1.4344
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,83857,0.055707,0.019972,0.216683,0.125636,0.022921,0.956310,0.979317,0.991888,0.990115,2.748976,1.981325,1.173882,0.896788,1.4344
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2874,0.063466,0.020659,0.202478,0.143606,0.026292,0.946204,0.977659,0.988120,0.992338,2.754576,2.003817,1.050707,0.741876,1.4344
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4819,0.061224,0.035309,0.348763,0.121506,0.027690,0.961200,0.984473,0.993768,1.006332,2.793380,2.955675,0.639956,0.286752,2.0133
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,15648,0.060892,0.030826,0.333457,0.129979,0.027984,0.960323,0.984950,0.993782,1.008749,2.774373,2.791850,1.014275,0.597355,2.0133
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29253,0.059778,0.026307,0.297551,0.128392,0.027378,0.961724,0.985764,0.993351,1.010519,2.739206,2.586755,1.170633,0.709204,2.0133
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,46483,0.064472,0.024717,0.275584,0.147236,0.029563,0.950056,0.982222,0.992107,1.001920,2.673781,2.288473,1.211812,0.811885,2.0133
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,66253,0.081868,0.027085,0.266271,0.155949,0.036013,0.936525,0.979169,0.990758,0.974983,2.550591,1.929545,1.172006,0.905743,2.0133
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,35413,0.123263,0.048090,0.344883,0.236261,0.055086,0.898571,0.962201,0.980434,0.939849,2.421276,1.644957,1.088776,0.984225,2.0133
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7735,0.035753,0.026091,0.280275,0.092912,0.015537,0.977330,0.990699,0.995779,0.989955,2.913210,2.955343,0.640660,0.287747,1.5962
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25229,0.035702,0.022413,0.266439,0.092388,0.015607,0.975701,0.990293,0.995922,0.990824,2.914193,2.792782,1.014823,0.597449,1.5962
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,49995,0.036474,0.020698,0.244416,0.094053,0.015641,0.975777,0.990021,0.995531,0.993219,2.918696,2.584543,1.171257,0.710057,1.5962
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,92339,0.043388,0.020262,0.232042,0.107298,0.017899,0.966562,0.985200,0.994333,0.994552,2.922015,2.282323,1.211813,0.814367,1.5962
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,83857,0.048387,0.019305,0.208472,0.112916,0.019511,0.962956,0.983104,0.992840,0.995627,2.926759,1.981325,1.173882,0.896788,1.5962
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2874,0.057070,0.021672,0.200551,0.129703,0.022243,0.958684,0.980315,0.988574,0.997873,2.931075,2.003817,1.050707,0.741876,1.5962
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.068782,0.033333,0.333196,0.115209,0.029627,0.955033,0.988991,0.995987,1.003098,2.425325,2.954797,0.640788,0.287607,2.1098
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.070496,0.030382,0.315929,0.116741,0.030509,0.957486,0.988860,0.995706,1.002831,2.390226,2.792758,1.014439,0.597307,2.1098
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.069501,0.026702,0.300486,0.125270,0.030558,0.956237,0.988843,0.994755,1.005735,2.344084,2.586297,1.170639,0.709415,2.1098
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.081139,0.031200,0.304060,0.169250,0.036582,0.925592,0.977911,0.990427,0.998761,2.268995,2.289225,1.211798,0.811745,2.1098
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.106949,0.042181,0.335166,0.248752,0.050800,0.890489,0.955861,0.978603,0.979217,2.146861,1.929725,1.171937,0.905390,2.1098
