[h15/none] 4 sequences, 240 frames, 6 training lenses: aria_kb4, equidistant, orthographic, rectilinear, kb4x0.5, kb4x1.5
[h15/none] held out and never seen: stereographic, equisolid
[93m[WARN ] Dependency `gsplat` is required for rendering 3DGS. Install via: pip install git+https://github.com/nerfstudio-project/gsplat.git@0b4dddf04cb687367602c01196913cde6a743d70[0m
[97m[INFO ] using MLP layer as FFN[0m
[h15/none] LoRA 122.9k + FiLM 0.0k params
[h15/none] ep00 depth 0.4048 (240 steps, 38.9s)
[h15/none] ep01 depth 0.2928 (240 steps, 23.0s)
[h15/none] ep02 depth 0.2764 (240 steps, 23.4s)
[h15/none] ep03 depth 0.2592 (240 steps, 19.6s)
[h15/none] ep04 depth 0.2398 (240 steps, 21.1s)
[h15/none] ep05 depth 0.2307 (240 steps, 23.2s)
[h15/none] ep06 depth 0.2156 (240 steps, 22.8s)
[h15/none] ep07 depth 0.2051 (240 steps, 23.4s)
[h15/none] ep08 depth 0.1934 (240 steps, 24.0s)
[h15/none] ep09 depth 0.1881 (240 steps, 23.6s)
[h15/none] ep10 depth 0.1833 (240 steps, 23.2s)
[h15/none] ep11 depth 0.1822 (240 steps, 22.8s)
[h15/none] ep12 depth 0.1695 (240 steps, 24.1s)
[h15/none] ep13 depth 0.1679 (240 steps, 23.2s)
[h15/none] ep14 depth 0.1657 (240 steps, 20.5s)
[h15/none] ep15 depth 0.1610 (240 steps, 18.1s)
[h15/none] ep16 depth 0.1599 (240 steps, 23.2s)
[h15/none] ep17 depth 0.1493 (240 steps, 23.2s)
[h15/none] ep18 depth 0.1474 (240 steps, 23.3s)
[h15/none] ep19 depth 0.1484 (240 steps, 23.1s)
[h15/none] ep20 depth 0.1506 (240 steps, 20.7s)
[h15/none] ep21 depth 0.1413 (240 steps, 21.5s)
[h15/none] ep22 depth 0.1412 (240 steps, 23.7s)
[h15/none] ep23 depth 0.1406 (240 steps, 22.7s)
[h15/none] ep24 depth 0.1351 (240 steps, 22.5s)
[h15/none] ep25 depth 0.1330 (240 steps, 23.3s)
[h15/none] ep26 depth 0.1338 (240 steps, 24.1s)
[h15/none] ep27 depth 0.1285 (240 steps, 23.0s)
[h15/none] ep28 depth 0.1294 (240 steps, 23.3s)
[h15/none] ep29 depth 0.1274 (240 steps, 23.3s)
[h15/none] ep30 depth 0.1272 (240 steps, 18.6s)
[h15/none] ep31 depth 0.1253 (240 steps, 20.7s)
[h15/none] ep32 depth 0.1273 (240 steps, 23.1s)
[h15/none] ep33 depth 0.1272 (240 steps, 23.0s)
[h15/none] ep34 depth 0.1231 (240 steps, 23.4s)
[h15/none] ep35 depth 0.1208 (240 steps, 24.0s)
[h15/none] ep36 depth 0.1201 (240 steps, 23.4s)
[h15/none] ep37 depth 0.1192 (240 steps, 20.5s)
[h15/none] ep38 depth 0.1161 (240 steps, 20.4s)
[h15/none] ep39 depth 0.1161 (240 steps, 23.6s)
[h15/none] done -> /user/f.zhang2/projects/vggt-omega-organized/results/autoresearch-h15-lensholdout/none
MARKER_train_none=0
