[h15/none] 4 sequences, 240 frames, 6 training lenses: aria_kb4, equidistant, orthographic, rectilinear, kb4x0.5, kb4x1.5
[h15/none] held out and never seen: stereographic, equisolid
[93m[WARN ] Dependency `gsplat` is required for rendering 3DGS. Install via: pip install git+https://github.com/nerfstudio-project/gsplat.git@0b4dddf04cb687367602c01196913cde6a743d70[0m
[97m[INFO ] using MLP layer as FFN[0m
[h15/none] LoRA 122.9k + FiLM 0.0k params
[h15/none] ep00 depth 0.3008 (240 steps, 113.4s)
[h15/none] ep01 depth 0.2175 (240 steps, 52.1s)
[h15/none] ep02 depth 0.1924 (240 steps, 54.9s)
[h15/none] ep03 depth 0.1798 (240 steps, 54.5s)
[h15/none] ep04 depth 0.1681 (240 steps, 50.8s)
[h15/none] ep05 depth 0.1610 (240 steps, 51.1s)
[h15/none] ep06 depth 0.1576 (240 steps, 51.9s)
[h15/none] ep07 depth 0.1521 (240 steps, 49.4s)
[h15/none] ep08 depth 0.1449 (240 steps, 52.9s)
[h15/none] ep09 depth 0.1357 (240 steps, 52.2s)
[h15/none] ep10 depth 0.1344 (240 steps, 51.9s)
[h15/none] ep11 depth 0.1249 (240 steps, 51.1s)
[h15/none] ep12 depth 0.1240 (240 steps, 34.1s)
[h15/none] ep13 depth 0.1225 (240 steps, 37.9s)
[h15/none] ep14 depth 0.1248 (240 steps, 18.0s)
[h15/none] ep15 depth 0.1182 (240 steps, 9.3s)
[h15/none] ep16 depth 0.1197 (240 steps, 9.4s)
[h15/none] ep17 depth 0.1145 (240 steps, 9.5s)
[h15/none] ep18 depth 0.1138 (240 steps, 9.9s)
[h15/none] ep19 depth 0.1128 (240 steps, 9.3s)
[h15/none] ep20 depth 0.1097 (240 steps, 9.7s)
[h15/none] ep21 depth 0.1043 (240 steps, 9.2s)
[h15/none] ep22 depth 0.1049 (240 steps, 9.7s)
[h15/none] ep23 depth 0.1004 (240 steps, 9.1s)
[h15/none] ep24 depth 0.1011 (240 steps, 9.5s)
[h15/none] ep25 depth 0.1000 (240 steps, 9.5s)
[h15/none] ep26 depth 0.0979 (240 steps, 9.5s)
[h15/none] ep27 depth 0.0965 (240 steps, 9.1s)
[h15/none] ep28 depth 0.0955 (240 steps, 9.6s)
[h15/none] ep29 depth 0.0957 (240 steps, 9.3s)
[h15/none] ep30 depth 0.0970 (240 steps, 17.4s)
[h15/none] ep31 depth 0.0957 (240 steps, 27.2s)
[h15/none] ep32 depth 0.0935 (240 steps, 31.2s)
[h15/none] ep33 depth 0.0930 (240 steps, 46.3s)
[h15/none] ep34 depth 0.0907 (240 steps, 46.7s)
[h15/none] ep35 depth 0.0886 (240 steps, 48.2s)
[h15/none] ep36 depth 0.0886 (240 steps, 49.9s)
[h15/none] ep37 depth 0.0908 (240 steps, 53.6s)
[h15/none] ep38 depth 0.0854 (240 steps, 50.7s)
[h15/none] ep39 depth 0.0859 (240 steps, 51.7s)
[h15/none] done -> /user/f.zhang2/projects/vggt-omega-organized/results/autoresearch-h15-upright/none
MARKER_train_none=0
