digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.095680,0.065697,0.474842,0.171497,0.040626,0.915861,0.962739,0.983935,0.954249,2.588271,2.954797,0.640788,0.287607,1.5982
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.100036,0.067354,0.490836,0.183736,0.042422,0.905174,0.961207,0.984256,0.960660,2.564486,2.792758,1.014439,0.597307,1.5982
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.100552,0.059193,0.454744,0.184186,0.042448,0.906626,0.962352,0.984410,0.970674,2.521527,2.586297,1.170639,0.709415,1.5982
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.107566,0.059311,0.438877,0.203407,0.046129,0.890713,0.958307,0.982491,0.977466,2.448518,2.289225,1.211798,0.811745,1.5982
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.125820,0.062187,0.413869,0.252089,0.056658,0.860869,0.940642,0.972286,0.975015,2.324368,1.929725,1.171937,0.905390,1.5982
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.152914,0.074225,0.429390,0.331073,0.072860,0.823307,0.923731,0.956456,0.963307,2.202934,1.644695,1.088812,0.984485,1.5982
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.071875,0.043182,0.366921,0.130849,0.030952,0.953418,0.981615,0.993217,0.969315,2.710551,2.954797,0.640788,0.287607,1.8497
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.072381,0.037340,0.362845,0.134773,0.031785,0.948525,0.980298,0.992656,0.979845,2.698954,2.792758,1.014439,0.597307,1.8497
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.076617,0.035517,0.340705,0.154232,0.033788,0.939030,0.978545,0.990857,0.990493,2.665253,2.586297,1.170639,0.709415,1.8497
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.086327,0.036688,0.321150,0.173122,0.037758,0.918538,0.971390,0.988276,0.994798,2.591844,2.289225,1.211798,0.811745,1.8497
