digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.133042,0.084027,0.507296,0.190377,0.053747,0.890639,0.956043,0.983097,0.911353,2.347760,2.954797,0.640788,0.287607,1.0652
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.136972,0.082804,0.483101,0.194901,0.054093,0.871459,0.950743,0.981535,0.918890,2.353048,2.792758,1.014439,0.597307,1.0652
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.134542,0.075684,0.440754,0.195444,0.051930,0.875805,0.950816,0.981845,0.928658,2.353517,2.586297,1.170639,0.709415,1.0652
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.123369,0.062998,0.428006,0.193698,0.048857,0.884910,0.950179,0.982818,0.948969,2.358844,2.289225,1.211798,0.811745,1.0652
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.117500,0.062466,0.460867,0.217973,0.050684,0.875616,0.943353,0.976036,0.981097,2.357721,1.929725,1.171937,0.905390,1.0652
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.141712,0.097128,0.591898,0.304974,0.069804,0.805567,0.905672,0.951059,1.031237,2.384488,1.644695,1.088812,0.984485,1.0652
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.109798,0.064053,0.455972,0.165745,0.045870,0.920879,0.973054,0.987855,0.925248,2.381328,2.954797,0.640788,0.287607,1.2010
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.107242,0.056830,0.429280,0.161596,0.044279,0.914271,0.973940,0.989378,0.930149,2.384645,2.792758,1.014439,0.597307,1.2010
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.105769,0.053094,0.417317,0.165249,0.042963,0.919265,0.969909,0.987718,0.936989,2.383622,2.586297,1.170639,0.709415,1.2010
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.103476,0.049114,0.398937,0.170642,0.041989,0.916170,0.966555,0.985462,0.951647,2.387981,2.289225,1.211798,0.811745,1.2010
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.105627,0.055560,0.445744,0.187433,0.044244,0.897156,0.958139,0.981919,0.975503,2.398433,1.929725,1.171937,0.905390,1.2010
601fcb22767e,vggt360,vggt360,fov60 tilt26 ring8 fuse=attn head=depth adaptive sa-mask 518px bf16,1190.60,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.131871,0.092556,0.581384,0.248157,0.059854,0.831091,0.923528,0.962379,1.008761,2.428690,1.644695,1.088812,0.984485,1.2010
