digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.095594,0.065715,0.475104,0.171400,0.040593,0.915870,0.962717,0.983819,0.954193,2.588231,2.954797,0.640788,0.287607,1.5994
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.099941,0.067372,0.491399,0.183126,0.042372,0.905332,0.961318,0.984210,0.960631,2.564293,2.792758,1.014439,0.597307,1.5994
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.100447,0.059301,0.456127,0.184790,0.042430,0.906889,0.962352,0.984387,0.970734,2.521420,2.586297,1.170639,0.709415,1.5994
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.107510,0.059411,0.439510,0.203297,0.046104,0.890992,0.958352,0.982504,0.977480,2.448585,2.289225,1.211798,0.811745,1.5994
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.125750,0.062123,0.413901,0.251899,0.056615,0.860858,0.940649,0.972357,0.975033,2.324434,1.929725,1.171937,0.905390,1.5994
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.152892,0.074210,0.429358,0.330449,0.072799,0.823280,0.923740,0.956516,0.963270,2.203656,1.644695,1.088812,0.984485,1.5994
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.091714,0.060488,0.447372,0.163078,0.038563,0.931760,0.965177,0.981683,0.948235,2.668727,2.956417,0.639849,0.286065,1.4253
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.094076,0.060581,0.451131,0.174543,0.039622,0.920286,0.965363,0.983714,0.953628,2.658455,2.792892,1.014755,0.597736,1.4253
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.090241,0.046935,0.391454,0.165823,0.037879,0.921682,0.969562,0.988918,0.961971,2.632865,2.584882,1.171168,0.709956,1.4253
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.092533,0.045796,0.364276,0.178947,0.039359,0.911017,0.967271,0.986203,0.976457,2.602677,2.282202,1.211766,0.814229,1.4253
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.100456,0.049555,0.381029,0.237095,0.046629,0.886134,0.952952,0.977453,1.003216,2.587949,1.979888,1.173882,0.897575,1.4253
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.130716,0.063505,0.400294,0.329340,0.067176,0.823524,0.919046,0.954111,1.065015,2.650464,2.012458,1.050907,0.734966,1.4253
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.071831,0.043088,0.366771,0.130809,0.030939,0.953423,0.981529,0.993209,0.969367,2.710105,2.954797,0.640788,0.287607,1.8532
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.072384,0.037331,0.362830,0.134743,0.031788,0.948506,0.980234,0.992619,0.979910,2.698695,2.792758,1.014439,0.597307,1.8532
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.076612,0.035473,0.340468,0.153615,0.033773,0.938821,0.978549,0.990838,0.990521,2.665056,2.586297,1.170639,0.709415,1.8532
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.086388,0.036696,0.320852,0.174429,0.037817,0.918381,0.971260,0.988206,0.994846,2.591658,2.289225,1.211798,0.811745,1.8532
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.106199,0.044304,0.328355,0.213588,0.047045,0.889055,0.956453,0.980169,0.987566,2.471623,1.929725,1.171937,0.905390,1.8532
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.133114,0.057206,0.358692,0.259438,0.059593,0.862655,0.942107,0.969430,0.968699,2.340688,1.644695,1.088812,0.984485,1.8532
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7916,0.067796,0.044367,0.382747,0.131159,0.029586,0.959795,0.979449,0.991679,0.963202,2.676041,2.956417,0.639849,0.286065,1.4502
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25837,0.065503,0.037988,0.374968,0.127854,0.028759,0.957257,0.979692,0.992590,0.969948,2.670474,2.792892,1.014755,0.597736,1.4502
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,51155,0.065700,0.033125,0.337859,0.128579,0.028416,0.954853,0.981268,0.992499,0.976607,2.648744,2.584882,1.171168,0.709956,1.4502
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,94542,0.071330,0.031315,0.304502,0.152945,0.030715,0.943551,0.976808,0.989973,0.984753,2.620762,2.282202,1.211766,0.814229,1.4502
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,85817,0.077995,0.030787,0.285368,0.168038,0.034248,0.925535,0.970955,0.987403,1.000862,2.605113,1.979888,1.173882,0.897575,1.4502
