digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.093456,0.066350,0.513669,0.172935,0.042063,0.909779,0.966541,0.984426,0.981180,3.135223,2.954797,0.640788,0.287607,1.8096
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.094736,0.064979,0.520837,0.178744,0.042388,0.911608,0.968939,0.985382,0.979013,3.075309,2.792758,1.014439,0.597307,1.8096
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.097725,0.058649,0.476603,0.187925,0.043016,0.910882,0.968355,0.984593,0.981168,3.011582,2.586297,1.170639,0.709415,1.8096
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.111244,0.062661,0.461026,0.213978,0.048556,0.888350,0.958735,0.980380,0.979161,2.923925,2.289225,1.211798,0.811745,1.8096
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.134758,0.069603,0.449498,0.265606,0.060472,0.850285,0.939353,0.971262,0.964381,2.775991,1.929725,1.171937,0.905390,1.8096
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.169119,0.090051,0.482843,0.336019,0.078106,0.797760,0.922391,0.957148,0.942482,2.637363,1.644695,1.088812,0.984485,1.8096
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.073453,0.046847,0.431868,0.145944,0.032976,0.947763,0.975050,0.988123,0.963992,3.080293,2.956417,0.639849,0.286065,1.5447
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.074781,0.047509,0.446047,0.145406,0.033107,0.940525,0.975545,0.989349,0.965818,3.064552,2.792892,1.014755,0.597736,1.5447
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.073869,0.038012,0.386502,0.137705,0.031886,0.945039,0.978697,0.991296,0.968595,3.040278,2.584882,1.171168,0.709956,1.5447
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.081787,0.037968,0.360066,0.157166,0.035044,0.929622,0.971841,0.988102,0.974497,3.021539,2.282202,1.211766,0.814229,1.5447
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.088189,0.040296,0.374434,0.199846,0.040424,0.907129,0.961873,0.983728,0.991606,3.030312,1.979888,1.173882,0.897575,1.5447
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.113464,0.052835,0.400562,0.274315,0.056792,0.841609,0.931634,0.970238,1.040207,3.137114,2.012458,1.050907,0.734966,1.5447
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.084172,0.052491,0.447232,0.142737,0.036739,0.936705,0.981172,0.992018,0.979014,3.218272,2.954797,0.640788,0.287607,1.9070
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.085815,0.049540,0.441096,0.154151,0.038017,0.931025,0.978789,0.990978,0.986233,3.189405,2.792758,1.014439,0.597307,1.9070
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.090560,0.047983,0.417054,0.161480,0.039866,0.918916,0.976249,0.990081,0.992142,3.141251,2.586297,1.170639,0.709415,1.9070
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.103491,0.051016,0.403838,0.192252,0.045625,0.892119,0.963037,0.985625,0.989589,3.051849,2.289225,1.211798,0.811745,1.9070
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.129041,0.064220,0.422219,0.250726,0.057463,0.858458,0.941662,0.973776,0.973579,2.905030,1.929725,1.171937,0.905390,1.9070
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.160520,0.083287,0.457033,0.297298,0.071620,0.818217,0.926784,0.962106,0.952931,2.777381,1.644695,1.088812,0.984485,1.9070
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7916,0.060477,0.039583,0.374482,0.123722,0.026889,0.963255,0.983207,0.991976,0.969943,3.075452,2.956417,0.639849,0.286065,1.6101
