digest,model,family,size,params_m,align,protocol,stream,view,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,pen,drift
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,0-10,0.0,10.0,,25,4945,0.091033,0.065567,0.417602,0.154397,0.041429,0.926099,0.953731,0.980870,0.969110,2.633128,1.7476,1.1850
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,10-20,10.0,20.0,,25,16023,0.088981,0.057244,0.406642,0.147786,0.039423,0.924223,0.960994,0.988132,0.979560,2.612438,1.7476,1.1850
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,20-30,20.0,30.0,,25,29948,0.084906,0.037476,0.321303,0.131614,0.037061,0.926606,0.979993,0.994020,0.984516,2.549404,1.7476,1.1850
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,30-40,30.0,40.0,,25,47587,0.096435,0.039596,0.300509,0.156731,0.042744,0.899644,0.972124,0.987558,0.982967,2.450519,1.7476,1.1850
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,40-50,40.0,50.0,,25,67828,0.128649,0.068697,0.352612,0.239194,0.060051,0.849232,0.928204,0.972664,0.975997,2.343553,1.7476,1.1850
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,50-55,50.0,55.0,,25,36245,0.159086,0.093979,0.371822,0.284776,0.072916,0.832349,0.909700,0.955374,0.954343,2.221957,1.7476,1.1850
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,0-10,0.0,10.0,,25,7927,0.087654,0.060741,0.391857,0.146971,0.039388,0.925934,0.951931,0.983272,0.963629,2.741914,1.1673,1.0339
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,10-20,10.0,20.0,,25,25858,0.085843,0.053847,0.391776,0.143386,0.037664,0.922191,0.956703,0.989780,0.967708,2.727963,1.1673,1.0339
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,20-30,20.0,30.0,,25,51190,0.077629,0.034067,0.302907,0.124316,0.033443,0.931740,0.979238,0.995086,0.976082,2.684385,1.1673,1.0339
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,30-40,30.0,40.0,,25,94545,0.079446,0.030220,0.268675,0.133060,0.034567,0.930120,0.976535,0.992668,0.982747,2.638867,1.1673,1.0339
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,40-50,40.0,50.0,,25,85819,0.087605,0.036694,0.271519,0.159768,0.039177,0.901250,0.963786,0.985236,1.001473,2.624747,1.1673,1.0339
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,50-55,50.0,55.0,,25,2940,0.102314,0.040771,0.226222,0.166556,0.049427,0.856381,0.937129,0.977755,1.040782,2.652015,1.1673,1.0339
2ab412af0ccc,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,0-10,0.0,10.0,,25,4945,0.077697,0.038906,0.335650,0.121218,0.034594,0.958948,0.978694,0.992380,0.965900,2.705562,1.8506,1.1593
