digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.095630,0.065640,0.473973,0.171588,0.040591,0.915821,0.962887,0.983720,0.954309,2.588272,2.954797,0.640788,0.287607,1.5966
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.099944,0.067096,0.488525,0.183119,0.042350,0.905161,0.961288,0.984264,0.960774,2.564912,2.792758,1.014439,0.597307,1.5966
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.100541,0.058964,0.451971,0.184586,0.042440,0.906648,0.962254,0.984382,0.970660,2.521881,2.586297,1.170639,0.709415,1.5966
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.107401,0.059094,0.437822,0.202856,0.046033,0.890840,0.958395,0.982537,0.977410,2.448803,2.289225,1.211798,0.811745,1.5966
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.125577,0.061987,0.413356,0.251307,0.056514,0.860968,0.940838,0.972502,0.975157,2.324809,1.929725,1.171937,0.905390,1.5966
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.152686,0.074150,0.429492,0.330056,0.072703,0.823581,0.923871,0.956611,0.963493,2.205087,1.644695,1.088812,0.984485,1.5966
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.091795,0.060639,0.447496,0.163269,0.038582,0.932158,0.965309,0.981674,0.948258,2.668692,2.956417,0.639849,0.286065,1.4280
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.094237,0.060775,0.450902,0.174790,0.039668,0.920232,0.965036,0.983588,0.953611,2.658662,2.792892,1.014755,0.597736,1.4280
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.090359,0.047042,0.390751,0.166064,0.037900,0.921629,0.969635,0.988823,0.961895,2.633070,2.584882,1.171168,0.709956,1.4280
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.092538,0.045699,0.363555,0.178340,0.039331,0.910896,0.967144,0.986202,0.976523,2.602905,2.282202,1.211766,0.814229,1.4280
