digest,model,family,size,params_m,align,protocol,stream,view,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,anchored_ratio,pen,drift
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,0-10,0.0,10.0,,200,4944,0.109655,0.094985,0.440400,0.164278,0.046507,0.899588,0.941476,0.967786,0.957734,2.583606,0.967365,1.3004,1.0292
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,10-20,10.0,20.0,,200,16022,0.104575,0.078803,0.419975,0.156756,0.043660,0.902521,0.946585,0.975884,0.972863,2.577630,0.967313,1.3004,1.0292
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,20-30,20.0,30.0,,200,29952,0.099082,0.055681,0.359557,0.147156,0.041737,0.907048,0.958784,0.987649,0.985200,2.540788,0.969299,1.3004,1.0292
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,30-40,30.0,40.0,,200,47588,0.103977,0.049032,0.324254,0.162468,0.045306,0.888470,0.960679,0.986961,0.982406,2.454062,0.965728,1.3004,1.0292
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,40-50,40.0,50.0,,200,67824,0.118787,0.055148,0.325926,0.213040,0.055536,0.865529,0.943102,0.978435,0.972530,2.341084,0.958682,1.3004,1.0292
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,50-55,50.0,55.0,,200,36245,0.142598,0.066895,0.345551,0.267847,0.069161,0.840892,0.924428,0.962174,0.958179,2.220353,0.939891,1.3004,1.0292
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,0-10,0.0,10.0,,200,7926,0.100016,0.081635,0.419904,0.155737,0.043204,0.913415,0.950155,0.973324,0.952228,2.669123,0.967292,1.0784,0.9345
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,10-20,10.0,20.0,,200,25857,0.094782,0.067100,0.394991,0.146188,0.039848,0.916588,0.956251,0.980362,0.961558,2.667580,0.966303,1.0784,0.9345
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,20-30,20.0,30.0,,200,51196,0.085785,0.045309,0.328831,0.132698,0.036051,0.926897,0.969295,0.989715,0.973720,2.646988,0.962102,1.0784,0.9345
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,30-40,30.0,40.0,,200,94551,0.087212,0.036875,0.286080,0.143619,0.037452,0.917734,0.970771,0.989825,0.980750,2.613486,0.965016,1.0784,0.9345
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,40-50,40.0,50.0,,200,85810,0.090372,0.037100,0.277380,0.176945,0.042599,0.895121,0.961484,0.983868,1.001911,2.599195,0.976292,1.0784,0.9345
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,50-55,50.0,55.0,,200,2940,0.107855,0.048436,0.274597,0.199087,0.055667,0.844673,0.930607,0.969849,1.050076,2.635248,1.035140,1.0784,0.9345
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,0-10,0.0,10.0,,200,4944,0.067834,0.038886,0.324299,0.116911,0.030605,0.953993,0.979244,0.990653,0.973935,2.706068,0.977289,1.7932,1.0217
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,10-20,10.0,20.0,,200,16022,0.065502,0.033152,0.314484,0.111890,0.029358,0.957186,0.984424,0.993753,0.983355,2.698230,0.977816,1.7932,1.0217
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,20-30,20.0,30.0,,200,29952,0.070125,0.029579,0.291639,0.117228,0.031503,0.950315,0.985217,0.994269,0.998905,2.668024,0.979631,1.7932,1.0217
