digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,anchored_ratio,gt_median,gt_std,gt_spread,AbsRel_ds,delta1_ds,ds_strata,pen,pen_ds
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,200,4944,0.109655,0.094985,0.440400,0.164278,0.046507,0.899588,0.941476,0.967786,0.957734,2.583606,0.967365,3.000880,0.719866,0.424477,0.193564,0.774658,2.655000,1.3004,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,200,16022,0.104575,0.078803,0.419975,0.156756,0.043660,0.902521,0.946585,0.975884,0.972863,2.577630,0.967313,2.871683,1.078285,0.610150,0.133434,0.863700,3.530000,1.3004,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,200,29952,0.099082,0.055681,0.359557,0.147156,0.041737,0.907048,0.958784,0.987649,0.985200,2.540788,0.969299,2.654723,1.232538,0.732756,0.109389,0.897186,3.905000,1.3004,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,200,47588,0.103977,0.049032,0.324254,0.162468,0.045306,0.888470,0.960679,0.986961,0.982406,2.454062,0.965728,2.306340,1.239038,0.838030,0.107770,0.884922,4.000000,1.3004,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,200,67824,0.118787,0.055148,0.325926,0.213040,0.055536,0.865529,0.943102,0.978435,0.972530,2.341084,0.958682,1.957265,1.170777,0.899930,0.115386,0.869644,4.000000,1.3004,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,200,36245,0.142598,0.066895,0.345551,0.267847,0.069161,0.840892,0.924428,0.962174,0.958179,2.220353,0.939891,1.697035,1.084828,0.946375,0.139567,0.836000,3.990000,1.3004,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,200,7926,0.100016,0.081635,0.419904,0.155737,0.043204,0.913415,0.950155,0.973324,0.952228,2.669123,0.967292,3.014825,0.718804,0.417720,0.143377,0.837727,2.715000,1.0784,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,200,25857,0.094782,0.067100,0.394991,0.146188,0.039848,0.916588,0.956251,0.980362,0.961558,2.667580,0.966303,2.870190,1.078711,0.613299,0.111098,0.889979,3.670000,1.0784,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,200,51196,0.085785,0.045309,0.328831,0.132698,0.036051,0.926897,0.969295,0.989715,0.973720,2.646988,0.962102,2.653615,1.233023,0.733406,0.093139,0.916871,3.975000,1.0784,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,200,94551,0.087212,0.036875,0.286080,0.143619,0.037452,0.917734,0.970771,0.989825,0.980750,2.613486,0.965016,2.300343,1.238497,0.838870,0.088287,0.916175,4.000000,1.0784,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,200,85810,0.090372,0.037100,0.277380,0.176945,0.042599,0.895121,0.961484,0.983868,1.001911,2.599195,0.976292,1.987273,1.167496,0.893078,0.087394,0.896673,4.000000,1.0784,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,200,2940,0.107855,0.048436,0.274597,0.199087,0.055667,0.844673,0.930607,0.969849,1.050076,2.635248,1.035140,1.943890,1.014456,0.632354,0.146079,0.773810,2.930000,1.0784,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,200,4944,0.067834,0.038886,0.324299,0.116911,0.030605,0.953993,0.979244,0.990653,0.973935,2.706068,0.977289,3.000880,0.719866,0.424477,0.104107,0.895872,2.655000,1.7932,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,200,16022,0.065502,0.033152,0.314484,0.111890,0.029358,0.957186,0.984424,0.993753,0.983355,2.698230,0.977816,2.871683,1.078285,0.610150,0.074875,0.945940,3.530000,1.7932,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,200,29952,0.070125,0.029579,0.291639,0.117228,0.031503,0.950315,0.985217,0.994269,0.998905,2.668024,0.979631,2.654723,1.232538,0.732756,0.079301,0.941539,3.905000,1.7932,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,200,47588,0.084922,0.032477,0.268415,0.142567,0.037900,0.913105,0.972381,0.990242,0.997179,2.591279,0.977787,2.306340,1.239038,0.838030,0.088828,0.910697,4.000000,1.7932,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,200,67824,0.101970,0.038326,0.260625,0.171051,0.045903,0.890837,0.952037,0.980892,0.984030,2.478348,0.971180,1.957265,1.170777,0.899930,0.099090,0.894577,4.000000,1.7932,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,200,36245,0.121642,0.045041,0.277125,0.205552,0.056121,0.881688,0.942419,0.969486,0.964255,2.354014,0.956520,1.697035,1.084828,0.946375,0.118500,0.880146,3.990000,1.7932,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,200,7926,0.066981,0.043002,0.343588,0.123933,0.031005,0.949469,0.974453,0.987148,0.967969,2.677402,0.970539,3.014825,0.718804,0.417720,0.095242,0.907452,2.715000,1.1837,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,200,25857,0.061476,0.034470,0.324195,0.114300,0.027921,0.957419,0.981222,0.992106,0.973962,2.669543,0.966216,2.870190,1.078711,0.613299,0.065531,0.950565,3.670000,1.1837,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,200,51196,0.061037,0.028107,0.288028,0.108889,0.027173,0.962878,0.985234,0.994209,0.983808,2.645195,0.959594,2.653615,1.233023,0.733406,0.066975,0.956804,3.975000,1.1837,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,200,94551,0.070552,0.028681,0.259196,0.121988,0.030398,0.945466,0.979353,0.991575,0.986202,2.617764,0.957206,2.300343,1.238497,0.838870,0.071361,0.944103,4.000000,1.1837,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,200,85810,0.073577,0.027807,0.241397,0.131208,0.032208,0.931475,0.974373,0.989360,0.997027,2.600121,0.970929,1.987273,1.167496,0.893078,0.072280,0.927999,4.000000,1.1837,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,200,2940,0.079287,0.027574,0.198361,0.139236,0.037902,0.906973,0.966634,0.984941,1.027075,2.616869,1.021588,1.943890,1.014456,0.632354,0.100833,0.856904,2.930000,1.1837,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,200,4825,0.071668,0.045889,0.329212,0.126779,0.032309,0.930072,0.966520,0.985642,1.006919,2.092705,0.979924,3.003408,0.719292,0.421037,0.136825,0.826592,2.640000,1.5037,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,200,15660,0.067356,0.036410,0.311549,0.120028,0.030016,0.939126,0.972947,0.991351,1.013216,2.099366,0.978468,2.869760,1.078276,0.611526,0.083996,0.910172,3.530000,1.5037,
