digest,model,family,size,params_m,align,input_size,dataset,baseline,context,context_stride,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,1.000000,1.000000,0.198587,0.761151,0.901897,0.726794,0.079310,1.000000,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,rect_derect,1.000000,1.000000,0.157655,0.833731,0.923897,0.685833,0.063028,0.987502,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,1.000000,1.000000,0.143927,0.826949,0.937412,0.500793,0.063204,1.000000,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,rect_derect,1.000000,1.000000,0.131276,0.863767,0.949196,0.502764,0.052869,0.989563,1.576302,200.000000,587563.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,raw,1.000000,1.000000,0.151266,0.846247,0.938134,0.662258,0.060562,1.000000,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,rect_derect,1.000000,1.000000,0.148061,0.855419,0.933103,0.666567,0.057494,0.987492,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,raw,1.000000,1.000000,0.120623,0.883548,0.961391,0.466891,0.049089,1.000000,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,1.000000,1.000000,0.125433,0.870211,0.957273,0.485158,0.049819,0.989554,1.576315,200.000000,587559.000000
61195914f090,dav2_large,Depth-Anything-V2,Large,335.315649,disparity_scale_shift,518.000000,aea,raw,1.000000,1.000000,0.157546,0.837588,0.930619,0.802606,0.065813,1.000000,1.402200,200.000000,724894.000000
61195914f090,dav2_large,Depth-Anything-V2,Large,335.315649,disparity_scale_shift,518.000000,aea,rect_derect,1.000000,1.000000,0.150030,0.835255,0.935259,0.761220,0.063749,0.987502,1.402200,200.000000,724894.000000
61195914f090,dav2_large,Depth-Anything-V2,Large,335.315649,disparity_scale_shift,518.000000,nymeria,raw,1.000000,1.000000,0.144103,0.841104,0.950149,0.576976,0.061194,1.000000,1.576302,200.000000,587563.000000
61195914f090,dav2_large,Depth-Anything-V2,Large,335.315649,disparity_scale_shift,518.000000,nymeria,rect_derect,1.000000,1.000000,0.139157,0.844439,0.951407,0.568193,0.058849,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,1.000000,1.000000,0.239628,0.688400,0.877604,0.756025,0.091896,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,rect_derect,1.000000,1.000000,0.234486,0.694305,0.874725,0.757017,0.090115,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,raw,1.000000,1.000000,0.205071,0.721917,0.914536,0.561366,0.080417,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,rect_derect,1.000000,1.000000,0.207776,0.714409,0.904701,0.567852,0.082218,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,raw,1.000000,1.000000,0.206869,0.753668,0.898583,0.717560,0.080566,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,rect_derect,1.000000,1.000000,0.194097,0.778386,0.905285,0.712437,0.074890,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,raw,1.000000,1.000000,0.172215,0.790335,0.930827,0.516848,0.068018,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,rect_derect,1.000000,1.000000,0.164122,0.804519,0.933167,0.516575,0.064309,0.989563,1.576302,200.000000,587563.000000
