digest,model,family,size,params_m,align,input_size,dataset,baseline,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
321f55a96bd4,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,0.198919,0.759654,0.901588,0.726985,0.079666,1.000000,1.395447,200.000000,733694.000000
321f55a96bd4,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,0.144937,0.825548,0.936698,0.500113,0.063687,1.000000,1.570683,200.000000,593257.000000
321f55a96bd4,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,oxford,raw,0.357260,0.558791,0.784693,7.600671,0.138675,1.000000,15.069224,200.000000,543479.000000
321f55a96bd4,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,raw,0.151409,0.845081,0.938289,0.662494,0.060716,1.000000,1.395447,200.000000,733694.000000
321f55a96bd4,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,raw,0.121430,0.882268,0.961192,0.466092,0.049445,1.000000,1.570683,200.000000,593257.000000
321f55a96bd4,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,oxford,raw,0.275328,0.706726,0.868737,6.221493,0.097872,1.000000,15.069224,200.000000,543479.000000
321f55a96bd4,dav2_large,Depth-Anything-V2,Large,335.315649,disparity_scale_shift,518.000000,aea,raw,0.158684,0.837261,0.930584,0.809929,0.065954,1.000000,1.395447,200.000000,733694.000000
321f55a96bd4,dav2_large,Depth-Anything-V2,Large,335.315649,disparity_scale_shift,518.000000,nymeria,raw,0.145399,0.838383,0.949619,0.578615,0.061726,1.000000,1.570683,200.000000,593257.000000
321f55a96bd4,dav2_large,Depth-Anything-V2,Large,335.315649,disparity_scale_shift,518.000000,oxford,raw,0.302260,0.675249,0.831868,10.835839,0.112754,1.000000,15.069224,200.000000,543479.000000
321f55a96bd4,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,0.240445,0.687426,0.877145,0.756629,0.092192,1.000000,1.395447,200.000000,733694.000000
321f55a96bd4,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,raw,0.206411,0.720006,0.913377,0.560620,0.080909,1.000000,1.570683,200.000000,593257.000000
321f55a96bd4,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,oxford,raw,0.739722,0.425156,0.638358,10.471815,0.197468,1.000000,15.069224,200.000000,543479.000000
321f55a96bd4,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,raw,0.207179,0.751699,0.898731,0.717855,0.080785,1.000000,1.395447,200.000000,733694.000000
321f55a96bd4,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,raw,0.173306,0.788517,0.929948,0.516070,0.068485,1.000000,1.570683,200.000000,593257.000000
321f55a96bd4,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,oxford,raw,0.516728,0.521831,0.731954,9.031382,0.161228,1.000000,15.069224,200.000000,543479.000000
