model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
oracle,aea,radial,raw,1,theta,0.0,10.0,0.0,0.7978515625,7404.0,0.20517811026292287,0.03533157978146475,0.6468125337655322,0.5578008205551898,0.14338918130054804,0.9243532397605574
oracle,aea,radial,raw,1,theta,0.0,10.0,0.7978515625,1.1259765625,7183.0,0.10700207196929472,0.018117280062850263,0.888208269525268,0.9469870538511068,0.10045126045635248,1.3220692594745271
oracle,aea,radial,raw,1,theta,0.0,10.0,1.1259765625,1.474609375,8213.0,0.09098344962805766,0.016337556471794527,0.9474004626811153,1.2707314718281992,0.09964457744549149,1.5431436180574136
oracle,aea,radial,raw,1,theta,0.0,10.0,1.474609375,2.18359375,5539.0,0.06453894768119754,0.011742915487665397,0.9906120238310164,1.8252369208679364,0.2229979221891674,1.802987943005919
oracle,aea,radial,raw,1,theta,0.0,10.0,2.18359375,inf,14849.0,0.03687205237549698,0.007016531520882711,0.9997979661930096,3.701365753796552,2.3986566416314057,2.2036695480088526
oracle,aea,radial,raw,1,theta,10.0,20.0,0.0,0.7978515625,16943.0,0.2104129104057579,0.03581990565630707,0.6530130437348758,0.535723236089388,0.15280545806670845,0.8938455158996342
oracle,aea,radial,raw,1,theta,10.0,20.0,0.7978515625,1.1259765625,16815.0,0.11009829219828454,0.0189759000259426,0.8859946476360393,0.9721738054750223,0.09460863666118999,1.3410270165981941
oracle,aea,radial,raw,1,theta,10.0,20.0,1.1259765625,1.474609375,20224.0,0.08848512793519481,0.015656359083369913,0.9499604430379747,1.2784316630303105,0.09767151654414293,1.5463191498393745
oracle,aea,radial,raw,1,theta,10.0,20.0,1.474609375,2.18359375,17686.0,0.06528975358966722,0.01198437547384677,0.9889743299785141,1.813370270358617,0.2178398678459614,1.798640639249467
oracle,aea,radial,raw,1,theta,10.0,20.0,2.18359375,inf,35019.0,0.03701807150173623,0.007156797797834373,0.9995716610982609,3.5966328658192697,2.036490505585636,2.195531925270952
oracle,aea,radial,raw,1,theta,20.0,30.0,0.0,0.7978515625,18325.0,0.2097097528553179,0.03459924833419956,0.657244201909959,0.5310316323648533,0.1697046899914908,0.8780067567745904
oracle,aea,radial,raw,1,theta,20.0,30.0,0.7978515625,1.1259765625,19622.0,0.11485361205714387,0.020193752005780368,0.8778921618591377,0.9631607449148277,0.09842012134695417,1.3319484990601105
oracle,aea,radial,raw,1,theta,20.0,30.0,1.1259765625,1.474609375,21574.0,0.08781354175606504,0.015566269588617137,0.9523500509872995,1.2849840139606703,0.0971472863534351,1.5509138203042423
oracle,aea,radial,raw,1,theta,20.0,30.0,1.474609375,2.18359375,27551.0,0.06481085543590129,0.011964709325504577,0.9884940655511597,1.8374845953300243,0.21360726353798004,1.8092389154692177
oracle,aea,radial,raw,1,theta,20.0,30.0,2.18359375,inf,38152.0,0.03898978758720184,0.007384870068444633,0.9995544139232544,3.349725583684997,1.9053594399342377,2.1613162556318217
oracle,aea,radial,raw,1,theta,30.0,40.0,0.0,0.7978515625,28346.0,0.22219268923881608,0.03774491772370002,0.6473576518732802,0.5439187073214695,0.18282396390404498,0.8817856341069423
oracle,aea,radial,raw,1,theta,30.0,40.0,0.7978515625,1.1259765625,26707.0,0.1174859201988499,0.02109947390366372,0.8714569214063729,0.9680027049907328,0.09358010919891775,1.3366124927616192
oracle,aea,radial,raw,1,theta,30.0,40.0,1.1259765625,1.474609375,27305.0,0.08897150678362883,0.015982254181463557,0.9509247390587804,1.2907792185497162,0.09928480679330916,1.5542374599956779
oracle,aea,radial,raw,1,theta,30.0,40.0,1.474609375,2.18359375,41634.0,0.06600437506833529,0.012098207298400467,0.9885670365566605,1.790273621394173,0.1879289918381883,1.7918822699899004
oracle,aea,radial,raw,1,theta,30.0,40.0,2.18359375,inf,32582.0,0.04197317650311195,0.008012194935663472,0.9994782395187527,3.0844007523325763,1.5102908348016935,2.1233128102912504
oracle,aea,radial,raw,1,theta,40.0,50.0,0.0,0.7978515625,38646.0,0.22550959679656027,0.03909253393084832,0.6329244941261709,0.5481966450329998,0.1704156440172664,0.8922786518092044
