model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
vggt_1b,aea,radial,raw,1,theta,0.0,10.0,0.0,0.7978515625,7406.0,0.2842230091810718,0.2086053301875279,0.7204968944099379,0.5577596303356231,0.14339288562725933,0.7809552244494143
vggt_1b,aea,radial,raw,1,theta,0.0,10.0,0.7978515625,1.1259765625,7183.0,0.12942644453105098,0.0734951600547978,0.8712237226785465,0.9469870538511068,0.10045126045635248,1.1185594757311466
vggt_1b,aea,radial,raw,1,theta,0.0,10.0,1.1259765625,1.474609375,8213.0,0.12034511426756572,0.07161361862566204,0.8806769755266042,1.2707314718281992,0.09964457744549149,1.3846393258265306
vggt_1b,aea,radial,raw,1,theta,0.0,10.0,1.474609375,2.18359375,5539.0,0.0988259503114472,0.040437065672833956,0.93717277486911,1.8252369208679364,0.2229979221891674,1.7444597436127327
vggt_1b,aea,radial,raw,1,theta,0.0,10.0,2.18359375,inf,14849.0,0.12367004663931251,0.2909396326630398,0.8240958987137181,3.701365753796552,2.3986566416314057,2.7884475696411495
vggt_1b,aea,radial,raw,1,theta,10.0,20.0,0.0,0.7978515625,16965.0,0.2876384334491483,0.2790228662194428,0.7784851164161509,0.5354259919319186,0.15289662214519154,0.7446066878566283
vggt_1b,aea,radial,raw,1,theta,10.0,20.0,0.7978515625,1.1259765625,16815.0,0.11961007765672242,0.07338393647551777,0.8764793339280404,0.9721738054750223,0.09460863666118999,1.1553406767212073
vggt_1b,aea,radial,raw,1,theta,10.0,20.0,1.1259765625,1.474609375,20224.0,0.10163056795004252,0.04925680815441639,0.921034414556962,1.2784316630303105,0.09767151654414293,1.3583232351224026
vggt_1b,aea,radial,raw,1,theta,10.0,20.0,1.474609375,2.18359375,17686.0,0.08274710673276783,0.035823381786908096,0.94458894040484,1.813370270358617,0.2178398678459614,1.781202460334737
vggt_1b,aea,radial,raw,1,theta,10.0,20.0,2.18359375,inf,35019.0,0.13019437632625772,0.26032893457751266,0.8306347982523773,3.5966328658192697,2.036490505585636,2.759139063268834
vggt_1b,aea,radial,raw,1,theta,20.0,30.0,0.0,0.7978515625,18358.0,0.27210523251888796,0.2013362222109726,0.7678941061117769,0.5304779541467787,0.16992780245806272,0.7134057360573034
vggt_1b,aea,radial,raw,1,theta,20.0,30.0,0.7978515625,1.1259765625,19614.0,0.12538921949902831,0.060404030730756224,0.8697868869175079,0.963184952991167,0.09842844583241847,1.2431982660623906
vggt_1b,aea,radial,raw,1,theta,20.0,30.0,1.1259765625,1.474609375,21574.0,0.10521713213684386,0.04751766315764513,0.9166125892277742,1.2849840139606703,0.0971472863534351,1.4973504273540763
vggt_1b,aea,radial,raw,1,theta,20.0,30.0,1.474609375,2.18359375,27551.0,0.09120170559255451,0.04543199116953309,0.9185510507785561,1.8374845953300243,0.21360726353798004,1.787936967426329
vggt_1b,aea,radial,raw,1,theta,20.0,30.0,2.18359375,inf,38152.0,0.1622414272835412,0.304101205475833,0.7588068777521493,3.349725583684997,1.9053594399342377,2.5304036192962713
vggt_1b,aea,radial,raw,1,theta,30.0,40.0,0.0,0.7978515625,28433.0,0.2865199528431866,0.16645500662483081,0.7511694158196461,0.5426015601988117,0.1836111669514582,0.7740630496754414
